ID1	ZAVSIF	ZAVKATEGNAC	PREDMETNIK	ZAVSIFMAT	ID	MAT_ID	PROGRAM_ID	RAZRED	RAZRED_OZNAKA	DELEZ	ST_UC	ST_DEK	ST_ROM	ST_ODL_USM	ST_OPB	JEZIK_1	JEZIK_2	REGIJA	TIP
continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	string
																		class	meta
186.0	906.0	2010.0	A	120.0	1037405.0	1037405.0	3803.0	19.0	A	1.0	20.0	10.0	0.0	5.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
187.0	196.0	2010.0	A	120.0	1037406.0	1037406.0	3803.0	19.0	B	1.0	24.0	12.0	0.0	4.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
188.0	1053.0	2010.0	A	120.0	1037407.0	1037407.0	3803.0	20.0	A	1.0	24.0	14.0	0.0	5.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
189.0	1344.0	2010.0	A	120.0	1037409.0	1037409.0	3803.0	20.0	B	1.0	25.0	17.0	0.0	4.0	0.0	1487.0	0.0	Gorenjska	1.0
190.0	1345.0	2010.0	A	120.0	1037392.0	1037392.0	3803.0	12.0	A	1.0	18.0	9.0	0.0	0.0	17.0	0.0	0.0	Gorenjska	1.0
191.0	1206.0	2010.0	A	120.0	1037393.0	1037393.0	3803.0	12.0	B	1.0	17.0	10.0	0.0	1.0	16.0	0.0	0.0	Gorenjska	1.0
192.0	415.0	2010.0	A	120.0	1037394.0	1037394.0	3803.0	13.0	A	1.0	17.0	10.0	0.0	0.0	15.0	0.0	0.0	Podravska	1.0
193.0	200.0	2010.0	A	120.0	1037395.0	1037395.0	3803.0	13.0	B	1.0	18.0	12.0	0.0	1.0	16.0	0.0	0.0	Osrednjeslovenska	1.0
194.0	913.0	2010.0	A	120.0	1037396.0	1037396.0	3803.0	14.0	A	1.0	16.0	9.0	0.0	0.0	14.0	0.0	0.0	Osrednjeslovenska	1.0
195.0	914.0	2010.0	A	120.0	1037399.0	1037399.0	3803.0	15.0	B	1.0	19.0	12.0	0.0	2.0	15.0	1487.0	0.0	Osrednjeslovenska	1.0
196.0	915.0	2010.0	A	121.0	1037100.0	1037100.0	3803.0	18.0	A	1.0	25.0	13.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
197.0	916.0	2010.0	A	121.0	1037096.0	1037096.0	3803.0	17.0	A	1.0	25.0	13.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
198.0	201.0	2010.0	A	121.0	1037080.0	1037080.0	3803.0	12.0	A	1.0	25.0	10.0	0.0	2.0	23.0	0.0	0.0	Osrednjeslovenska	1.0
199.0	204.0	2010.0	A	121.0	1037083.0	1037083.0	3803.0	15.0	A	1.0	14.0	7.0	0.0	1.0	13.0	1487.0	0.0	Osrednjeslovenska	1.0
200.0	907.0	2010.0	A	121.0	1037117.0	1037115.0	3803.0	14.0	3. razred	0.0	5.0	9.0	3.0	0.0	0.0	8.0	0.0	Osrednjeslovenska	2.0
201.0	199.0	2010.0	A	121.0	1037106.0	1037106.0	3803.0	19.0	A	1.0	18.0	9.0	0.0	4.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
202.0	1259.0	2010.0	A	121.0	1037109.0	1037109.0	3803.0	20.0	A	1.0	18.0	8.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
203.0	3701.0	2010.0	A	121.0	1037116.0	1037115.0	3803.0	13.0	2. razred	0.0	5.0	9.0	8.0	0.0	0.0	9.0	0.0	Osrednjeslovenska	2.0
204.0	3702.0	2010.0	A	121.0	1037092.0	1037092.0	3803.0	16.0	A	1.0	19.0	10.0	0.0	3.0	15.0	1487.0	0.0	Osrednjeslovenska	1.0
205.0	3703.0	2010.0	A	122.0	1043947.0	1043947.0	3803.0	20.0	C	1.0	24.0	11.0	0.0	2.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
207.0	363.0	2010.0	A	122.0	1044319.0	1044317.0	3813.0	20.0	9. razred	0.0	5.0	3.0	1.0	0.0	0.0	0.0	1487.0	Goriška	2.0
209.0	424.0	2010.0	A	122.0	1043954.0	1043954.0	3813.0	19.0	A	1.0	10.0	8.0	1.0	0.0	0.0	1487.0	0.0	Podravska	1.0
210.0	423.0	2010.0	A	122.0	1043919.0	1043919.0	3803.0	12.0	B	1.0	26.0	13.0	0.0	0.0	26.0	0.0	0.0	Podravska	1.0
211.0	766.0	2010.0	A	122.0	1043920.0	1043920.0	3803.0	12.0	C	1.0	26.0	13.0	1.0	0.0	25.0	0.0	0.0	Podravska	1.0
212.0	509.0	2010.0	A	122.0	1043921.0	1043921.0	3803.0	12.0	Č	1.0	28.0	13.0	0.0	0.0	25.0	0.0	0.0	Goriška	1.0
213.0	839.0	2010.0	A	122.0	1043922.0	1043922.0	3803.0	13.0	A	1.0	24.0	14.0	0.0	0.0	21.0	0.0	0.0	Goriška	1.0
214.0	841.0	2010.0	A	122.0	1043923.0	1043923.0	3803.0	13.0	B	1.0	26.0	13.0	0.0	1.0	24.0	0.0	0.0	Goriška	1.0
215.0	842.0	2010.0	A	122.0	1043924.0	1043924.0	3803.0	13.0	C	1.0	23.0	13.0	0.0	0.0	20.0	0.0	0.0	Goriška	1.0
216.0	256.0	2010.0	A	122.0	1043925.0	1043925.0	3803.0	13.0	Č	1.0	25.0	12.0	0.0	1.0	20.0	0.0	0.0	Pomurska	1.0
217.0	205.0	2010.0	A	122.0	1043926.0	1043926.0	3803.0	14.0	A	1.0	27.0	13.0	1.0	1.0	20.0	0.0	0.0	Jugovzhodna Slovenija	1.0
218.0	612.0	2010.0	A	122.0	1043927.0	1043927.0	3803.0	14.0	B	1.0	29.0	16.0	0.0	1.0	22.0	0.0	0.0	Jugovzhodna Slovenija	1.0
219.0	974.0	2010.0	A	122.0	1043928.0	1043928.0	3803.0	14.0	C	1.0	28.0	14.0	0.0	1.0	25.0	0.0	0.0	Jugovzhodna Slovenija	1.0
220.0	975.0	2010.0	A	122.0	1043929.0	1043929.0	3803.0	14.0	Č	1.0	29.0	13.0	0.0	2.0	22.0	0.0	0.0	Jugovzhodna Slovenija	1.0
221.0	613.0	2010.0	A	122.0	1043930.0	1043930.0	3803.0	15.0	A	1.0	28.0	16.0	0.0	0.0	19.0	1487.0	0.0	Jugovzhodna Slovenija	1.0
222.0	973.0	2010.0	A	122.0	1043931.0	1043931.0	3803.0	15.0	B	1.0	27.0	14.0	0.0	0.0	15.0	1487.0	0.0	Jugovzhodna Slovenija	1.0
223.0	460.0	2010.0	A	122.0	1043932.0	1043932.0	3803.0	15.0	C	1.0	28.0	14.0	0.0	1.0	17.0	1487.0	0.0	Obalno-Kraška	1.0
224.0	3790.0	2010.0	A	122.0	1043933.0	1043933.0	3803.0	16.0	A	1.0	24.0	13.0	0.0	1.0	9.0	1487.0	0.0	Obalno-Kraška	1.0
225.0	198.0	2010.0	A	122.0	1043934.0	1043934.0	3803.0	16.0	B	1.0	27.0	12.0	0.0	1.0	14.0	1487.0	0.0	Osrednjeslovenska	1.0
226.0	3545.0	2010.0	A	122.0	1043935.0	1043935.0	3803.0	16.0	C	1.0	27.0	12.0	0.0	2.0	7.0	1487.0	0.0	Osrednjeslovenska	1.0
227.0	10550.0	2010.0	A	122.0	1043936.0	1043936.0	3803.0	17.0	A	1.0	26.0	12.0	0.0	0.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
228.0	217.0	2010.0	A	122.0	1043937.0	1043937.0	3803.0	17.0	B	1.0	25.0	14.0	0.0	1.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
229.0	213.0	2010.0	A	122.0	1043938.0	1043938.0	3803.0	17.0	C	1.0	24.0	11.0	1.0	2.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
230.0	218.0	2010.0	A	122.0	1043939.0	1043939.0	3803.0	18.0	A	1.0	24.0	11.0	0.0	1.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
231.0	210.0	2010.0	A	122.0	1043940.0	1043940.0	3803.0	18.0	B	1.0	28.0	15.0	0.0	1.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
232.0	687.0	2010.0	A	122.0	1043941.0	1043941.0	3803.0	18.0	C	1.0	23.0	15.0	0.0	2.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
233.0	216.0	2010.0	A	122.0	1043942.0	1043942.0	3803.0	19.0	A	1.0	19.0	10.0	0.0	0.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
234.0	219.0	2010.0	A	122.0	1043943.0	1043943.0	3803.0	19.0	B	1.0	21.0	12.0	0.0	1.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
235.0	221.0	2010.0	A	122.0	1043944.0	1043944.0	3803.0	19.0	C	1.0	21.0	10.0	0.0	1.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
236.0	214.0	2010.0	A	122.0	1043945.0	1043945.0	3803.0	20.0	A	1.0	20.0	11.0	0.0	3.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
237.0	685.0	2010.0	A	122.0	1043946.0	1043946.0	3803.0	20.0	B	1.0	24.0	10.0	0.0	2.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
238.0	686.0	2010.0	A	122.0	1044318.0	1044317.0	3813.0	18.0	7. razred	0.0	5.0	1.0	0.0	0.0	0.0	0.0	1487.0	Obalno-Kraška	2.0
239.0	3509.0	2010.0	A	122.0	1044312.0	1044311.0	3813.0	16.0	5. razred	0.0	5.0	4.0	0.0	0.0	0.0	3.0	1487.0	Obalno-Kraška	2.0
240.0	220.0	2010.0	A	122.0	1044313.0	1044311.0	3813.0	17.0	6. razred	0.0	5.0	1.0	1.0	0.0	0.0	0.0	1487.0	Obalno-Kraška	2.0
242.0	209.0	2010.0	A	122.0	1043918.0	1043918.0	3803.0	12.0	A	1.0	26.0	12.0	0.0	0.0	25.0	0.0	0.0	Obalno-Kraška	1.0
