ST_UC	ST_DEK	ST_ROM	ST_OPB	ST_ODL_USM	REGIJA	TIP
continuous	continuous	continuous	continuous	continuous	discrete	string
					class	meta
28.0	15.0	0.0	0.0	1.0	Obalno-Kraška	1.0
23.0	15.0	0.0	0.0	2.0	Obalno-Kraška	1.0
19.0	10.0	0.0	0.0	0.0	Obalno-Kraška	1.0
21.0	12.0	0.0	0.0	1.0	Obalno-Kraška	1.0
21.0	10.0	0.0	0.0	1.0	Obalno-Kraška	1.0
20.0	11.0	0.0	0.0	3.0	Obalno-Kraška	1.0
24.0	10.0	0.0	0.0	2.0	Obalno-Kraška	1.0
5.0	1.0	0.0	0.0	0.0	Obalno-Kraška	2.0
5.0	4.0	0.0	0.0	0.0	Obalno-Kraška	2.0
5.0	1.0	1.0	0.0	0.0	Obalno-Kraška	2.0
26.0	12.0	0.0	25.0	0.0	Obalno-Kraška	1.0
5.0	1.0	1.0	0.0	0.0	Spodnjeposavska	2.0
5.0	3.0	2.0	0.0	0.0	Jugovzhodna Slovenija	2.0
0.0	0.0	0.0	0.0	0.0	Savinjska	8.0
25.0	14.0	0.0	0.0	2.0	Savinjska	1.0
26.0	13.0	0.0	14.0	3.0	Gorenjska	1.0
16.0	8.0	0.0	15.0	1.0	Gorenjska	1.0
16.0	8.0	0.0	14.0	0.0	Gorenjska	1.0
16.0	9.0	0.0	0.0	1.0	Gorenjska	1.0
17.0	8.0	0.0	0.0	2.0	Gorenjska	1.0
27.0	15.0	0.0	0.0	1.0	Gorenjska	1.0
26.0	11.0	0.0	0.0	1.0	Gorenjska	1.0
0.0	0.0	0.0	0.0	0.0	Gorenjska	8.0
0.0	0.0	0.0	0.0	0.0	Gorenjska	8.0
21.0	8.0	0.0	20.0	2.0	Gorenjska	1.0
19.0	11.0	0.0	12.0	1.0	Gorenjska	1.0
16.0	11.0	0.0	12.0	1.0	Gorenjska	1.0
25.0	9.0	0.0	0.0	5.0	Gorenjska	1.0
25.0	10.0	0.0	25.0	1.0	Gorenjska	1.0
0.0	0.0	0.0	0.0	0.0	Gorenjska	8.0
0.0	0.0	0.0	0.0	0.0	Gorenjska	8.0
13.0	10.0	0.0	13.0	0.0	Gorenjska	1.0
12.0	6.0	0.0	12.0	0.0	Gorenjska	1.0
11.0	10.0	0.0	11.0	0.0	Gorenjska	1.0
15.0	8.0	0.0	0.0	2.0	Pomurska	1.0
13.0	9.0	0.0	12.0	3.0	Spodnjeposavska	1.0
12.0	6.0	0.0	0.0	0.0	Spodnjeposavska	1.0
12.0	3.0	0.0	0.0	1.0	Spodnjeposavska	1.0
19.0	8.0	0.0	0.0	1.0	Spodnjeposavska	1.0
15.0	10.0	0.0	13.0	0.0	Spodnjeposavska	1.0
5.0	9.0	5.0	0.0	0.0	Spodnjeposavska	2.0
5.0	6.0	1.0	0.0	0.0	Spodnjeposavska	2.0
5.0	11.0	6.0	0.0	0.0	Spodnjeposavska	2.0
5.0	9.0	6.0	0.0	0.0	Podravska	2.0
5.0	10.0	6.0	0.0	0.0	Podravska	2.0
16.0	6.0	0.0	0.0	1.0	Podravska	1.0
5.0	8.0	6.0	0.0	0.0	Pomurska	2.0
5.0	6.0	4.0	0.0	0.0	Savinjska	2.0
0.0	0.0	0.0	0.0	0.0	Savinjska	8.0
0.0	0.0	0.0	0.0	0.0	Savinjska	8.0
5.0	8.0	4.0	0.0	0.0	Savinjska	2.0
15.0	7.0	0.0	10.0	2.0	Savinjska	1.0
16.0	9.0	0.0	4.0	1.0	Savinjska	1.0
15.0	7.0	0.0	0.0	3.0	Savinjska	1.0
18.0	11.0	0.0	0.0	1.0	Savinjska	1.0
26.0	10.0	0.0	0.0	2.0	Savinjska	1.0
16.0	8.0	0.0	0.0	1.0	Podravska	1.0
0.0	0.0	0.0	0.0	0.0	Podravska	8.0
28.0	14.0	0.0	0.0	1.0	Pomurska	1.0
24.0	12.0	0.0	20.0	2.0	Pomurska	1.0
