Regija,Sifra,Šola,'Okoljska vzgoja II /i/','Likovno snovanje 3 /i/','Izbrani šport /i/','Verstva in etika 2 /i/','Logika III /i/','Ansambelska igra /i/','Kemija v življenju /i/','Angleš?ina III /i/','Matemati?ne delavnice 8 /i/','Latinš?ina I /i/','Ruš?ina III /i/','Projekti iz fizike in tehnike /i/','Madžarš?ina II /i/','Filozofija za otroke: Jaz in drugi /i/','Obdelava gradiv: kovine /i/','Kitajš?ina I /i/','Verstva in etika 1 /i/','Nemš?ina I /i/','Projekti iz fizike in ekologije /i/','Zvezde in vesolje /i/','Tisk /i/','Hrvaš?ina II /i/','Urejanje besedil /i/','Robotika v tehniki /i/','Okoljska vzgoja I /i/','Logika II /i/','Hrvaš?ina I /i/','Klekljanje II /i/','Šolsko novinarstvo /i/','Sre?anja s kulturami in na?ini življenja /i/','Na?ini prehranjevanja /i/','Turisti?na vzgoja /i/','Kmetijska dela /i/','Filozofija za otroke: Eti?na raziskovanja /i/','Angleš?ina II /i/','Romska kultura /i/','Življenje upodobljeno v umetnosti /i/','Srbš?ina II /i/','Francoš?ina III /i/','Obdelava gradiv: umetne snovi /i/','Kemija v okolju /i/','Genetika /i/','Šport za zdravje /i/','Literarni klub /i/','Ruš?ina I /i/','Klaviatura in ra?unalnik I /i/','Raziskovanje doma?e okolice /i/','Glasbeni projekt /i/','Okoljska vzgoja III /i/','Sodobna priprava hrane /i/','Latinš?ina II /i/','Obdelava gradiv: les /i/','Ra?unalništvo (v OŠPP) /i/','Sonce Luna in Zemlja /i/','Latinš?ina III /i/','Ra?unalniška omrežja /i/','Vezenje: Angleško vezenje in rišelje vezenje (i)','Glasbena dela /i/','Filozofija za otroke: Kriti?no mišljenje /i/','Televizija /i/','Šahovsko kombiniranje /i/','Španš?ina III /i/','Nemš?ina III /i/','Sodobnosti z razsežnostmi dediš?ine /i/','Varstvo pred naravnimi in drugimi nesre?ami /i/','Državljanska kultura /i/','Italijanš?ina III /i/','?ebelarstvo /i/','Elektrotehnika /i/','Življenje ?loveka na zemlji /i/','Šahovske strategije /i/','Sodobno kmetijstvo /i/','Francoš?ina II /i/','Informacijsko opismenjevanje /i/','Vezenje: Osnovni vbodi in tehnike vezenja /i/','Odkrivajmo preteklost mojega kraja /i/','Hrvaš?ina III /i/','Matemati?ne delavnice 7 /i/','Kitajš?ina III /i/','Klekljanje I /i/','Organizmi v naravi in umetnem okolju /i/','Daljnogledi in planeti /i/','Raziskovanje organizmov v doma?i okolici /i/','Klaviatura in ra?unalnik II /i/','Nemš?ina II /i/','Kitajš?ina II /i/','Multimedia /i/','Rastline in ?lovek /i/','Italijanš?ina II /i/','Gledališki klub /i/','Starinski in družabni plesi /i/','Ljudski plesi /i/','Kaj nam govorijo umetnine /i/','Ples /i/','Radio /i/','Likovno snovanje 2 /i/','Risanje v geometriji in tehniki /i/','Vezenje: Slikarski marjeti?ni in gobelinski vbodi (i)','Elektronika z robotiko /i/','Oblika in slog /i/','Francoš?ina I /i/','Italijanš?ina I /i/','Šport za sprostitev /i/','Logika I /i/','Srbš?ina I /i/','Ruš?ina II /i/','Klekljanje III /i/','Verstva in etika 3 /i/','Madžarš?ina I /i/','Retorika /i/','Angleš?ina I /i/','Matemati?ne delavnice 9 /i/','Likovno snovanje 1 /i/','Španš?ina II /i/','Poskusi v kemiji /i/','Raziskovanje doma?ega kraja in varstvo njegovega okolja /i/'
Notranjsko-Kraška,402,'Osnovna šola Antona Globo?nika Postojna',0,7,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,10,13,0,0,0,12,23,0,13,23,0,0,0,0,13,0,0,15,17,0,35,11,0,0,15,0,0,13,0,24,0,10,0,10,16,0,0,0,0,0,15,0,19,0,9,0,0,8,0,0,9,0,9,0,0,0,0,8,8,0,0,0,26,0,11,0,8,10,7,0,0,0,0,11,0,12,9,0,13,14,52,0,0,0,0,0,0,5,0,0,14,0,17,19
Notranjsko-Kraška,404,'Osnovna šola Košana',0,8,5,0,0,8,0,0,9,0,0,0,0,0,0,0,0,7,0,17,0,0,12,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,11,0,7,0,6,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,3,0,0,6,0,0,0,0,10,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,3,0
Notranjsko-Kraška,405,'Osnovna šola Pivka',0,26,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,6,4,0,6,0,0,0,0,0,0,7,9,0,0,40,0,0,0,17,0,0,11,0,23,0,5,0,24,0,7,0,8,0,0,11,0,15,0,13,7,0,11,0,0,7,0,0,0,0,0,0,5,0,0,0,0,6,0,10,0,14,13,0,0,20,0,0,19,0,0,0,0,7,15,41,0,0,0,0,9,0,0,0,0,16,0,11,0
Notranjsko-Kraška,406,'Osnovna šola Prestranek',0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,15,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,12,0,10,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,24,0,10,0,10,10,0,15,0,0,0,11,0,4,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,18,9
Notranjsko-Kraška,599,'Osnovna šola Antona Žniderši?a Ilirska Bistrica',0,4,28,11,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,22,0,0,13,0,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,4,0,0,12,8,0,0,0,0,0,20,0,5,3,9,0,25,0,0,0,18,0,0,5,0,36,0,6,0,8,0,0,0,0,0,0,3,0,0,0,0,0,17,12,0,5,0,8,12,9,13,13,15,0,1,17,4,6,0,0,0,0,14,7,0,0,0,0,12,0,0,0,0,3,6,17,0
Notranjsko-Kraška,600,'Osnovna šola Dragotina Ketteja Ilirska Bistrica',0,24,41,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,22,0,0,0,8,0,0,21,0,23,0,20,0,16,0,0,0,0,0,0,0,0,6,0,12,8,0,20,0,21,0,0,9,8,0,0,0,0,11,0,0,0,0,0,22,0,17,16,7,0,0,31,17,23,0,0,0,0,0,15,23,21,0,0,0,0,0,0,0,0,0,0,0,18
Notranjsko-Kraška,668,"'Osnovna šola Notranjski odred Cerknica Podružni?na šola ""11.maj"" Grahovo'",0,6,19,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,10,7,0,9,0,0,0,0,0,8,0,0,21,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,14,12,0,0,0,0,0,12,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,5,0,0
Obalno-Kraška,196,'Osnovna šola Dante Alighieri Izola',0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,3,0,5,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,9,0,0,0,0,15,5,0,0,0,0,11,0,10,7,0,0,0,0,0,0,0,0,7,0,4,10
Obalno-Kraška,197,'Osnovna šola Vojke Šmuc Izola',0,17,25,8,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,21,0,0,0,0,0,14,0,28,11,0,0,0,0,0,0,0,0,0,19,32,6,0,0,32,0,0,28,0,0,0,9,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,12,15,0,3,0,38,9,0,13,0,9,0,28,0,25,0,0,0,0,0,0,29,0,0,0,0,8,0,8,0,0,13,0,11,20
Obalno-Kraška,209,'Osnovna šola Antona Ukmarja Koper',0,20,46,0,0,14,25,0,0,0,0,0,0,10,0,16,0,10,0,12,0,0,13,0,6,0,0,0,0,0,34,24,0,23,0,0,0,14,2,0,0,0,11,0,0,0,17,0,0,14,0,0,0,28,0,15,0,0,8,0,0,7,7,20,0,0,0,0,0,26,0,0,9,0,0,0,0,0,0,0,41,10,0,0,10,5,22,12,0,29,0,0,0,7,0,10,0,0,0,0,13,0,19,0,0,0,0,0,0,16,0,0,18,12,27,18
